uniqueID,Word,cat53_string,size_mean,memorability_cr,recognizability,property_hold_mean,property_hold_SD,property_pleasant_mean,property_pleasant_SD,property_arousal_mean,property_arousal_SD,property_manmade_mean,property_manmade_SD,property_grasp_mean,property_grasp_SD,property_natural_mean,property_natural_SD
snail,snail,animal; sea animal; seafood,156.0333333,0.7961098435789474,0.9185332132499999,6.1579,1.0533,4.2368,1.2398,3.840909091,1.841930002,1.3947,1.0537,6.0,1.139,6.5789,0.9482
chalk,chalk,arts and crafts supply; school supply,166.6875,0.8321431082307692,0.9055908785,6.6842,0.5745,4.5526,1.083,3.933333333,1.4984840819999998,5.4474,1.7351,6.3684,0.8517,4.1053,1.7977
clay,clay,arts and crafts supply,184.6,0.79907410275,0.7407334181538462,6.0,1.029,4.7714,1.2387,3.934782609,1.638456915,3.6,1.8818,5.6857,1.2549,5.7429,1.221
crayon,crayon,arts and crafts supply; school supply; toy,176.0581395,0.849686746235294,0.8502056449444444,6.7368,0.5032,5.4737,1.2463,3.416666667,1.796371441,6.6842,0.9036,6.5526,0.95,1.9474,1.1613
eraser,eraser,arts and crafts supply; office supply; school supply,152.9148936,0.8539345157499999,0.8107909436153846,6.7895,0.4132,4.3158,0.933,4.0,1.6242838030000002,6.5,1.1089,6.7105,0.5651,1.7632,1.0249
paper,paper,arts and crafts supply; office supply; school supply,224.1410256,0.7307764604285715,0.8575660450666667,6.7436,0.6373,4.6923,1.004,3.543478261,1.456121511,6.6923,0.9221,6.5385,0.8537,3.7436,1.758
pen,pen,arts and crafts supply; office supply; school supply; tool,191.1309524,0.7257566111666667,0.950362283923077,6.8857,0.4038,4.4571,0.6108,3.930232558,1.31647706,6.8571,0.4937,6.8286,0.4528,1.4,0.7746
pencil,pencil,arts and crafts supply; office supply; school supply; tool,195.6590909,0.8093545624999999,0.9581854043076923,6.75,0.5,4.9444,0.9545,3.765957447,1.417480403,6.6389,0.6825,6.6111,0.5989,3.1667,1.7321
pencil_sharpener,pencil sharpener,arts and crafts supply; office supply; school supply; tool,184.4404762,0.8016444430833333,0.9324263895384616,6.8571,0.355,4.3429,0.8382,3.948717949,1.356247104,6.9143,0.284,6.7429,0.6108,1.4286,0.9167
tape,tape,arts and crafts supply; fastener; office supply,184.202381,0.7961648380769231,0.802741866,6.6154,0.6734,4.7179,1.099,3.957446809,1.654472815,6.5897,1.2506,6.5385,0.7555,1.6667,1.0842
thread,thread,arts and crafts supply,132.7261905,0.79363756875,0.8321667450000001,6.3846,1.0161,4.8205,1.0481,3.70212766,1.768257477,6.2821,0.8568,6.2308,1.0377,3.0,1.6384
egg,egg,breakfast food; food,180.6829268,0.8381407711333334,0.976931260375,6.6571,0.5392,4.9143,1.2455,3.85106383,1.601340789,1.4,0.9762,6.4,0.9456,6.6571,0.4816
omelet,omelet,breakfast food; food,209.5116279,0.8071705228333333,0.7198043614210526,5.5,1.3507,5.3684,1.2175,3.612244898,1.753761749,6.5526,0.9211,5.3947,1.3664,3.8947,1.7674
belt,belt,clothing; clothing accessory,239.1860465,0.8158603592857142,0.8561076302,6.6316,0.5413,4.6316,1.0246,4.020833333,1.4215601759999998,6.7368,0.4463,6.3947,1.2848,2.5263,1.5199
bra,bra,clothing; women's clothing,228.9333333,0.8764009586428572,0.9468030117333334,6.5714,0.6081,4.2571,1.7037,4.333333333,1.602303307,6.8571,0.355,6.4,1.0059,1.9714,1.3824
crown,crown,clothing; headwear; jewelry,228.3452381,0.7926023777500001,0.9675538136923076,5.7838,0.9468,5.7568,0.9547,4.06122449,1.940877843,6.6216,1.0633,5.5676,1.0419,1.8378,1.3019999999999998
dress,dress,clothing; women's clothing,279.6625,0.793597178076923,0.9236344537857143,6.3333,0.8619,5.6389,0.9305,3.846153846,1.5889892630000002,6.6944,0.8559,6.2778,0.8489,2.3611,1.2907
glove,glove,clothing; clothing accessory; outerwear; protective clothing,217.2222222,0.8019675675625,0.8740908937058824,6.8205,0.3888,4.8462,0.9608,3.846153846,1.6964162390000002,6.7436,0.7511,6.6667,0.5774,1.8974,1.2936
hat,hat,clothing; clothing accessory; headwear,233.1976744,0.7896889466470588,0.739401543388889,6.5833,0.6036,5.4722,1.1585,3.581395349,1.467627793,6.6667,0.7928,6.3889,0.7664,3.0556,1.7394
pants,pants,clothing,269.30851060000003,0.8077469903846153,0.8115941249285715,6.7368,0.5032,5.3684,1.1009,3.904761905,1.79170887,6.6316,1.0761,6.6316,0.6334,2.5,1.4842
scarf,scarf,clothing; clothing accessory; outerwear,241.3142857,0.7649147788125,0.7087455452352941,6.7949,0.4091,5.6923,1.1039,4.063829787,1.552056915,6.7949,0.469,6.7692,0.4846,2.5385,1.8331
shirt,shirt,clothing,260.3977273,0.7606358998333334,0.9371225008461538,6.7368,0.5032,5.4211,1.0813,3.558139535,1.868311251,6.8158,0.4565,6.6053,0.5945,2.5,1.4658
shoe,shoe,clothing; footwear,224.4347826,0.7680353495000001,0.8863631080000001,6.4,0.5531,5.2286,1.087,3.956521739,1.490063708,6.7714,0.426,6.1714,1.1242,2.2571,1.4821
sock,sock,clothing; footwear,213.7439024,0.8203182676153846,0.8793155695714285,6.8158,0.4565,5.1316,1.143,3.888888889,1.318094738,6.7105,0.7318,6.6579,0.7081,2.2632,1.4646
t-shirt,t-shirt,clothing,259.3444444,0.8066026115333333,0.712163193125,6.7027,0.5708,5.2973,0.9388,3.673913043,1.838530184,6.7297,0.4502,6.5405,0.9887,2.9459,1.6658
